serie,idade,genero,cor_raca,estado_civil,renda_per_capita,trabalha,acesso_internet,possui_computador,tipo_escola_origem,distorcao_idade_serie,assistencia_pe_de_meia,nota_media,frequencia,media_atividades,taxa_entrega_atividades,reprovacoes,situacao
3,19,Masculino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Sim,Publica,Sim,Nao,7.6,79.7,6.8,68.0,1,Aprovado
1,15,Feminino,Preta,Solteiro,Acima de 1 SM,Nao,Sim,Sim,Publica,Nao,Nao,5.9,90.9,4.8,50.0,0,Em Risco
2,16,Masculino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,8.2,91.4,6.6,65.7,0,Aprovado
1,17,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Sim,Sim,8.2,94.5,7.9,88.0,1,Aprovado
2,16,Feminino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,6.4,96.3,5.6,56.7,1,Aprovado
2,16,Feminino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Nao,Publica,Nao,Nao,5.9,76.1,6.9,78.1,0,Aprovado
1,15,Masculino,Parda,Casado/Uniao,"Ate 0,5 SM",Nao,Nao,Nao,Publica,Nao,Sim,8.3,98.2,6.3,62.8,0,Aprovado
3,17,Masculino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,7.5,84.8,8.1,90.6,2,Aprovado
3,17,Masculino,Branca,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Nao,6.1,83.4,7.0,53.4,1,Em Risco
3,17,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,8.3,95.2,9.0,81.2,1,Aprovado
3,17,Feminino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,8.2,98.3,8.7,98.7,0,Aprovado
2,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Publica,Nao,Sim,6.4,92.4,7.4,65.7,1,Aprovado
3,18,Feminino,Preta,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Privada,Nao,Sim,6.9,83.9,5.9,49.2,1,Aprovado
1,15,Feminino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Nao,Publica,Nao,Nao,7.4,96.7,6.6,60.7,0,Aprovado
1,15,Masculino,Preta,Solteiro,"Ate 0,5 SM",Sim,Sim,Sim,Publica,Nao,Sim,6.4,94.3,5.3,58.0,0,Em Risco
1,15,Masculino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,4.6,72.7,3.3,51.1,0,Reprovado
1,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,5.2,82.8,5.4,60.9,0,Em Risco
2,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Nao,4.7,71.3,3.1,41.5,2,Reprovado
1,15,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Publica,Nao,Sim,7.4,87.7,7.4,68.3,0,Aprovado
3,17,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,4.9,80.4,4.0,69.1,1,Em Risco
1,15,Feminino,Parda,Outro,"Ate 0,5 SM",Nao,Sim,Sim,Publica,Nao,Sim,7.1,92.9,7.6,70.2,1,Aprovado
1,15,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,8.8,83.8,7.4,69.7,0,Aprovado
2,16,Masculino,Preta,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Publica,Nao,Sim,8.7,91.0,8.3,64.9,0,Aprovado
1,15,Masculino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Sim,Publica,Nao,Nao,4.4,72.9,3.7,61.0,0,Reprovado
3,18,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Nao,4.8,83.4,2.5,59.1,1,Reprovado
1,17,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Privada,Sim,Sim,5.0,81.7,4.6,75.2,2,Em Risco
3,17,Masculino,Branca,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,4.9,78.4,3.7,63.1,0,Em Risco
3,17,Masculino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Privada,Nao,Sim,4.8,82.1,6.1,76.2,0,Em Risco
1,15,Masculino,Parda,Casado/Uniao,"Ate 0,5 SM",Sim,Sim,Sim,Publica,Nao,Sim,6.3,90.6,5.8,44.9,1,Em Risco
1,18,Masculino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Sim,Sim,6.4,87.0,8.6,100.0,1,Aprovado
3,17,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Nao,7.7,94.3,6.7,69.4,0,Aprovado
2,16,Masculino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,5.8,82.6,4.9,72.2,1,Em Risco
3,22,Feminino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Sim,Nao,5.1,69.9,3.5,36.8,1,Reprovado
3,18,Masculino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Sim,6.5,87.4,6.7,67.4,1,Aprovado
1,15,Feminino,Parda,Solteiro,"0,5-1 SM",Sim,Sim,Sim,Publica,Nao,Nao,6.2,78.6,5.1,58.2,1,Reprovado
1,15,Masculino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Sim,7.1,88.1,5.4,54.3,0,Aprovado
1,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,7.0,89.7,6.8,84.3,0,Aprovado
3,17,Feminino,Preta,Solteiro,Acima de 1 SM,Nao,Sim,Nao,Publica,Nao,Nao,6.2,89.6,7.0,75.6,0,Aprovado
2,17,Feminino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,4.0,76.5,5.4,67.3,0,Em Risco
1,15,Masculino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Nao,7.9,85.7,6.9,64.6,0,Aprovado
1,15,Masculino,Parda,Solteiro,Acima de 1 SM,Sim,Sim,Sim,Publica,Nao,Nao,5.7,71.7,4.0,41.6,1,Reprovado
1,15,Masculino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Privada,Nao,Sim,6.6,96.8,4.1,48.4,1,Em Risco
1,15,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Publica,Nao,Nao,4.3,79.1,4.9,65.9,1,Reprovado
3,17,Feminino,Branca,Solteiro,Acima de 1 SM,Nao,Sim,Nao,Publica,Nao,Nao,6.6,80.9,6.2,56.5,1,Aprovado
2,23,Feminino,Parda,Solteiro,Acima de 1 SM,Sim,Sim,Nao,Publica,Sim,Nao,5.8,83.9,6.9,94.9,1,Em Risco
3,17,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,6.6,96.5,6.6,70.6,0,Aprovado
2,19,Feminino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Sim,Publica,Sim,Nao,10.0,98.8,8.2,70.0,1,Aprovado
1,15,Masculino,Parda,Casado/Uniao,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,5.6,79.2,6.1,81.0,1,Em Risco
3,18,Masculino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Sim,7.1,83.6,6.2,55.2,0,Aprovado
3,17,Masculino,Parda,Solteiro,"Ate 0,5 SM",Sim,Nao,Nao,Publica,Nao,Sim,6.4,85.7,6.5,86.3,1,Aprovado
2,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,5.6,81.3,5.9,56.6,0,Em Risco
3,20,Feminino,Parda,Solteiro,Acima de 1 SM,Sim,Sim,Nao,Publica,Sim,Nao,6.7,79.3,4.8,37.8,1,Reprovado
2,16,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,6.2,88.9,5.6,58.2,1,Em Risco
2,19,Masculino,Parda,Solteiro,"0,5-1 SM",Sim,Sim,Nao,Publica,Sim,Nao,6.6,80.8,3.9,20.3,1,Reprovado
2,16,Feminino,Parda,Casado/Uniao,"Ate 0,5 SM",Nao,Sim,Sim,Privada,Nao,Sim,9.5,100.0,7.3,72.4,0,Aprovado
1,21,Feminino,Preta,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Sim,Sim,5.6,83.0,4.8,53.9,1,Reprovado
1,15,Feminino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,6.1,72.3,7.0,62.9,0,Reprovado
1,15,Masculino,Parda,Solteiro,"0,5-1 SM",Sim,Sim,Sim,Publica,Nao,Nao,7.7,96.6,5.6,63.5,1,Aprovado
2,16,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,8.3,85.1,6.7,52.3,0,Aprovado
1,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Publica,Nao,Sim,5.7,82.3,6.6,89.3,2,Em Risco
2,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Nao,Sim,Publica,Nao,Sim,6.0,83.3,5.8,85.6,1,Aprovado
3,19,Masculino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Sim,Sim,9.5,99.3,8.9,92.3,1,Aprovado
1,17,Feminino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Sim,Sim,5.7,82.5,6.1,62.3,1,Aprovado
2,16,Feminino,Parda,Solteiro,"0,5-1 SM",Sim,Sim,Sim,Publica,Nao,Nao,5.1,70.5,4.2,58.8,1,Reprovado
3,21,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Sim,Sim,6.6,86.8,5.5,54.2,1,Em Risco
1,17,Masculino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Sim,Sim,6.3,83.7,6.6,84.9,1,Aprovado
1,15,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,6.0,83.0,5.3,73.1,2,Aprovado
1,15,Masculino,Preta,Solteiro,Acima de 1 SM,Nao,Sim,Sim,Publica,Nao,Nao,7.1,87.4,6.5,56.4,0,Aprovado
1,15,Feminino,Preta,Solteiro,"Ate 0,5 SM",Sim,Nao,Nao,Publica,Nao,Nao,5.0,68.2,4.9,60.0,1,Reprovado
3,17,Masculino,Branca,Solteiro,"0,5-1 SM",Nao,Nao,Nao,Publica,Nao,Nao,4.8,63.7,4.8,64.2,1,Reprovado
3,17,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Privada,Nao,Sim,6.3,98.2,5.9,62.4,0,Aprovado
2,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Nao,Nao,Publica,Nao,Sim,6.3,84.9,3.9,54.4,1,Em Risco
3,18,Masculino,Branca,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Sim,4.1,81.7,3.6,70.3,2,Reprovado
3,17,Masculino,Preta,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Sim,5.4,81.8,5.4,58.2,0,Em Risco
1,15,Feminino,Branca,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,6.6,89.3,4.7,57.8,0,Em Risco
3,17,Feminino,Parda,Solteiro,"Ate 0,5 SM",Sim,Nao,Sim,Privada,Nao,Sim,7.8,88.0,6.9,79.5,0,Aprovado
2,16,Feminino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Sim,Publica,Nao,Nao,6.4,64.6,4.3,45.0,0,Reprovado
3,22,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Sim,Sim,4.3,80.7,4.0,52.1,1,Reprovado
3,20,Masculino,Parda,Casado/Uniao,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Sim,Sim,5.6,82.8,4.9,59.3,1,Em Risco
1,18,Feminino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Sim,Sim,4.7,81.9,4.2,65.2,1,Reprovado
1,15,Feminino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Sim,Publica,Nao,Nao,7.5,86.8,4.7,53.3,0,Aprovado
1,15,Masculino,Parda,Solteiro,"0,5-1 SM",Sim,Sim,Nao,Publica,Nao,Nao,5.6,74.5,5.6,55.5,0,Reprovado
2,16,Feminino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,2.9,61.2,2.9,30.1,1,Reprovado
3,17,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,10.0,100.0,7.4,64.3,0,Aprovado
3,17,Feminino,Parda,Outro,"0,5-1 SM",Nao,Sim,Sim,Publica,Nao,Nao,7.0,74.8,8.7,66.4,0,Em Risco
1,20,Feminino,Branca,Solteiro,"Ate 0,5 SM",Nao,Nao,Nao,Publica,Sim,Sim,5.8,80.2,6.6,78.0,1,Em Risco
2,16,Masculino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Sim,Privada,Nao,Nao,4.9,76.4,4.8,44.5,0,Em Risco
2,16,Feminino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Sim,Publica,Nao,Nao,5.1,77.2,3.7,40.1,1,Em Risco
1,15,Masculino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Privada,Nao,Sim,6.8,92.5,8.6,91.2,0,Aprovado
1,16,Masculino,Branca,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Sim,6.4,83.8,6.1,53.0,0,Aprovado
1,17,Masculino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Sim,Publica,Sim,Nao,7.2,78.6,5.0,56.3,1,Reprovado
3,21,Masculino,Branca,Solteiro,"0,5-1 SM",Sim,Sim,Nao,Publica,Sim,Nao,5.8,67.0,5.1,55.6,1,Reprovado
1,18,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Nao,Nao,Publica,Sim,Sim,4.1,80.0,2.6,48.7,1,Reprovado
2,16,Feminino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Nao,Publica,Nao,Nao,3.4,71.0,3.3,40.0,1,Reprovado
2,16,Feminino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,6.3,91.7,6.1,67.4,0,Em Risco
1,15,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Nao,5.8,80.0,4.7,64.6,0,Em Risco
3,17,Feminino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,4.8,80.3,4.0,49.9,0,Reprovado
3,17,Feminino,Preta,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,7.5,82.4,7.9,60.7,0,Aprovado
1,16,Feminino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Privada,Nao,Sim,4.6,80.6,4.9,56.9,1,Em Risco
2,22,Feminino,Preta,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Sim,Sim,6.7,83.9,6.9,95.2,1,Aprovado
1,15,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Nao,4.6,81.4,4.4,71.5,0,Reprovado
1,15,Masculino,Preta,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,6.6,91.6,5.4,60.5,1,Em Risco
1,17,Feminino,Outra,Solteiro,"0,5-1 SM",Sim,Sim,Sim,Publica,Sim,Nao,7.0,84.5,4.8,67.8,1,Em Risco
2,17,Masculino,Preta,Solteiro,"Ate 0,5 SM",Nao,Nao,Nao,Publica,Nao,Nao,5.8,80.8,5.8,72.4,0,Em Risco
2,16,Masculino,Preta,Solteiro,"0,5-1 SM",Nao,Sim,Sim,Publica,Nao,Nao,9.0,90.0,8.0,85.7,0,Aprovado
1,15,Masculino,Branca,Solteiro,Acima de 1 SM,Nao,Sim,Sim,Publica,Nao,Nao,9.5,86.5,6.8,37.8,0,Aprovado
1,15,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Publica,Nao,Sim,7.1,99.7,7.8,96.4,1,Aprovado
3,17,Masculino,Preta,Solteiro,"0,5-1 SM",Nao,Sim,Sim,Publica,Nao,Nao,7.5,72.9,4.5,34.9,0,Reprovado
1,15,Masculino,Branca,Solteiro,Acima de 1 SM,Sim,Sim,Sim,Publica,Nao,Nao,7.9,78.1,8.9,80.8,0,Em Risco
1,17,Masculino,Branca,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Sim,Nao,6.6,95.4,5.8,68.8,1,Em Risco
2,19,Feminino,Parda,Solteiro,"0,5-1 SM",Sim,Sim,Sim,Publica,Sim,Nao,6.4,82.7,4.9,43.9,1,Em Risco
3,19,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Sim,Sim,5.2,80.9,2.7,36.3,1,Reprovado
1,17,Masculino,Preta,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Sim,Sim,3.7,82.1,4.5,68.3,1,Reprovado
2,17,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,4.6,83.3,3.4,48.2,0,Reprovado
3,17,Masculino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Sim,Publica,Nao,Nao,9.9,90.8,7.4,63.8,0,Aprovado
1,18,Masculino,Parda,Solteiro,Acima de 1 SM,Sim,Sim,Sim,Privada,Sim,Nao,6.6,80.1,6.2,84.1,1,Aprovado
3,17,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,6.1,89.1,5.1,48.9,0,Em Risco
1,20,Masculino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Sim,Privada,Sim,Sim,7.6,85.1,7.2,70.0,1,Aprovado
2,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Privada,Nao,Sim,9.4,94.3,10.0,99.4,0,Aprovado
2,16,Feminino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,7.2,95.9,6.3,74.6,0,Aprovado
2,16,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,6.6,80.5,6.0,60.1,0,Em Risco
1,15,Masculino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,7.0,83.6,6.7,60.1,0,Aprovado
3,17,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Nao,Nao,Publica,Nao,Sim,5.8,83.8,5.9,80.8,1,Aprovado
1,16,Feminino,Parda,Outro,"Ate 0,5 SM",Sim,Sim,Nao,Privada,Nao,Nao,4.9,79.5,5.0,54.3,1,Em Risco
1,15,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,5.4,82.1,4.4,53.6,0,Em Risco
1,17,Feminino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Nao,Privada,Sim,Nao,5.2,83.9,6.9,71.4,2,Em Risco
2,18,Masculino,Branca,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Sim,Sim,5.4,81.9,3.5,34.5,1,Reprovado
2,18,Masculino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Nao,Publica,Sim,Nao,4.1,61.9,4.7,57.5,1,Reprovado
1,15,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,4.8,84.5,5.2,47.9,2,Em Risco
2,18,Masculino,Preta,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Sim,Sim,5.6,84.0,5.1,44.0,1,Reprovado
1,15,Feminino,Parda,Solteiro,"Ate 0,5 SM",Sim,Nao,Nao,Publica,Nao,Sim,5.6,83.1,3.5,61.5,0,Reprovado
2,16,Feminino,Branca,Solteiro,Acima de 1 SM,Nao,Sim,Sim,Publica,Nao,Nao,7.2,86.1,5.3,70.5,1,Aprovado
